CIDADE,expectativa_total,total_liderancas,peso_medio_liderancas,forca_media_local,score_medio,score_maximo,score_municipal_v6,cidade_norm,prefeito_apoia,sentimento_local_txt,distancia_tuntum_km,bonus_prefeito,score_proximidade,score_sentimento_local,fator_ancora_v7,score_municipal_v7,prioridade_v7,base_eleitoral_v8,peso_eleitoral,score_municipal_v8,prioridade_v8,cenario_conservador_v8,cenario_realista_v8,cenario_forte_v8,eficiencia_eleitoral,cluster_v9,acao_recomendada,municipio,prioridade_agenda,agenda_score,indice_consolidado,cd_mun,mapa_ok,cidade_norm_join,qtd_mencoes,sentimento_medio,engajamento_medio,alcance_medio,rejeicao_media,isd_v11,classificacao_isd,fontes,temas,indice_master_v12
Tuntum,10000.0,1,100.0,100.0,100.0,100.0,100.0,tuntum,1,alto,0.0,15,100,85,100,84.25,A,50000.0,85,78.8125,B,9000.0,10000.0,11500.0,20.0,Expansão quente,"Priorizar agenda, alianças e comunicação local.",Tuntum,Sem classificação,78.8125,69.99062500000001,2112308,True,tuntum,1.0,55.0,66.0,78.0,34.0,46.41,Neutro/instável,Domingos Costa,Fernando Pessoa; Tuntum; apoio; família política,62.9164375
Presidente Dutra,1500.0,1,70.0,80.0,76.5,76.5,75.6,presidente dutra,0,medio,75.0,0,85,60,75,62.42999999999999,C,7500.0,40,54.6075,D,1350.0,1500.0,1724.9999999999998,20.0,Custo alto,Entrar com cautela e baixo custo político.,Presidente Dutra,Sem classificação,54.6075,49.416375,2109106,True,presidente dutra,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,34.5914625
Capinzal,0.0,1,100.0,100.0,85.0,85.0,94.0,capinzal do norte,0,medio,250.0,0,55,60,50,58.45,C,,100,54.3625,D,,,,0.0,Custo alto,Entrar com cautela e baixo custo político.,Capinzal,Sem classificação,54.3625,46.208124999999995,2102754,True,capinzal,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,32.3456875
Bacabal,0.0,1,70.0,100.0,74.5,74.5,80.8,bacabal,0,medio,250.0,0,55,60,50,54.49,C,,100,53.3725,D,,,,0.0,Custo alto,Entrar com cautela e baixo custo político.,Bacabal,Sem classificação,53.3725,45.366625,2101202,True,bacabal,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,31.756637499999997
Monção,0.0,1,65.0,35.0,50.0,50.0,50.0,moncao,0,medio,250.0,0,55,60,50,45.25,D,,100,51.0625,D,,,,0.0,Custo alto,Entrar com cautela e baixo custo político.,Monção,Sem classificação,51.0625,43.403125,2106904,True,moncao,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,30.3821875
Dom Pedro,2000.0,2,52.5,57.5,62.5,76.5,63.6,dom pedro,0,medio,135.0,0,70,60,75,56.58,C,10000.0,40,50.895,D,1800.0,2000.0,2300.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Dom Pedro,Sem classificação,50.895,46.26075,2103802,True,dom pedro,1.0,79.0,56.0,72.0,14.0,52.87,Neutro/instável,Maramais,Dom Pedro; demandas; escuta; povoados,48.243525
Santa Rita,0.0,0,35.0,35.0,39.5,39.5,36.8,santa rita,0,medio,250.0,0,55,60,50,41.29,D,,100,50.0725,D,,,,0.0,Custo alto,Entrar com cautela e baixo custo político.,Santa Rita,Sem classificação,50.0725,42.561625,2110203,True,santa rita,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,29.793137499999997
São Luís,0.0,0,35.0,35.0,39.5,39.5,36.8,sao luis,0,medio,250.0,0,55,60,50,41.29,D,,100,50.0725,D,,,,0.0,Custo alto,Entrar com cautela e baixo custo político.,São Luís,Sem classificação,50.0725,42.561625,2111300,True,sao luis,7.0,69.57142857142857,54.71428571428572,71.85714285714286,22.571428571428573,63.63,Favorável,Maramais; Neto Ferreira; Panorama News 360; Portal O Informante; Tribuna Cast / YouTube,Anil; Cidade Olímpica; Coroadinho; Fábio Viegas; Lira; Orleans Brandão; PDT; São Luís; Weverton Rocha; aliados; articulação estadual; ação social; bairros; capital; desgaste; filiação; lideranças; podcast; presença territorial; propósito; pré-candidatura; questionamentos; trajetória; vida pública,48.8821375
Barra do Corda,1500.0,1,35.0,35.0,48.5,48.5,40.400000000000006,barra do corda,0,medio,115.0,0,70,60,75,49.620000000000005,D,7500.0,40,49.155,D,1350.0,1500.0,1724.9999999999998,20.0,Custo alto,Entrar com cautela e baixo custo político.,Barra do Corda,Sem classificação,49.155,44.78175,2101608,True,barra do corda,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,31.347224999999998
Grajaú,1000.0,1,100.0,100.0,85.0,85.0,94.0,grajau,0,medio,250.0,0,55,60,50,58.45,C,5000.0,40,45.3625,D,900.0,1000.0,1150.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Grajaú,Sem classificação,45.3625,41.558125,2104800,True,grajau,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,29.090687499999994
