variavel,importancia
expectativa,0.9752020391359898
voto_total,0.006159499997124041
penetracao_real_pct,0.004553480223362948
qtd_liderancas,0.004115794043932317
score_liderancas,0.0037350329219195877
score_final_v3,0.0027580010166347525
score_base_real,0.002157577373416959
soma_votos_liderancas,0.0013185752876196596
score_sentimento,0.0
score_risco_ajustado,0.0
sentimento_positivo,0.0
sentimento_neutro,0.0
sentimento_negativo,0.0
coerencia_narrativa,0.0
volatilidade_partidaria,0.0
ataques_oposicao,0.0
denuncias_publicas,0.0
persistencia_tema,0.0
