CIDADE,expectativa_total,total_liderancas,peso_medio_liderancas,forca_media_local,score_medio,score_maximo,score_municipal_v6
Tuntum,10000.0,1,100.0,100.0,100.0,100.0,100.0
Mirador,500.0,1,100.0,100.0,85.0,85.0,94.0
Trizidela do Vale,300.0,1,100.0,100.0,85.0,85.0,94.0
Capinzal,,1,100.0,100.0,85.0,85.0,94.0
Santa Helena,350.0,1,100.0,100.0,85.0,85.0,94.0
Santa Filomena do MA,1000.0,1,100.0,100.0,85.0,85.0,94.0
Penalva,500.0,1,100.0,100.0,85.0,85.0,94.0
Gov. Eugênio Barros,200.0,1,100.0,100.0,85.0,85.0,94.0
São Luís Gonzaga do MA,500.0,1,100.0,100.0,85.0,85.0,94.0
Gonçalves Dias,1200.0,1,100.0,100.0,85.0,85.0,94.0
Paraibano,500.0,1,100.0,100.0,85.0,85.0,94.0
Grajaú,1000.0,1,100.0,100.0,85.0,85.0,94.0
Esperantinópolis,800.0,1,100.0,100.0,85.0,85.0,94.0
Jatobá,1200.0,1,100.0,100.0,85.0,85.0,94.0
Jenipapo dos Vieiras,700.0,1,100.0,100.0,85.0,85.0,94.0
Apicum-Açu,900.0,1,100.0,100.0,85.0,85.0,94.0
Estreito,1500.0,1,100.0,100.0,85.0,85.0,94.0
Morros,600.0,1,100.0,80.0,78.0,78.0,85.2
Serrano do Maranhão,200.0,1,100.0,80.0,78.0,78.0,85.2
Icatu,800.0,1,70.0,100.0,74.5,74.5,80.8
São Domingos do MA,2000.0,1,70.0,100.0,74.5,74.5,80.8
São José de Ribamar,700.0,1,70.0,100.0,74.5,74.5,80.8
São João dos Patos,1500.0,1,70.0,100.0,74.5,74.5,80.8
Imperatriz,500.0,1,70.0,100.0,74.5,74.5,80.8
Bacabal,,1,70.0,100.0,74.5,74.5,80.8
Presidente Dutra,1500.0,1,70.0,80.0,76.5,76.5,75.6
Pirapemas,500.0,1,70.0,80.0,67.5,67.5,72.0
Amarante do MA,1500.0,1,70.0,80.0,67.5,67.5,72.0
Coroatá,200.0,1,70.0,80.0,67.5,67.5,72.0
Timon,1500.0,1,70.0,80.0,67.5,67.5,72.0
Tufilândia,400.0,1,70.0,80.0,67.5,67.5,72.0
Turiaçu,500.0,1,70.0,80.0,67.5,67.5,72.0
Anajatuba,500.0,1,70.0,80.0,67.5,67.5,72.0
Mata Roma,450.0,1,70.0,80.0,67.5,67.5,72.0
Governador Archer,1000.0,1,100.0,35.0,62.25,62.25,65.4
Bacabeira,300.0,1,100.0,35.0,62.25,62.25,65.4
Nina Rodrigues,100.0,1,100.0,35.0,62.25,62.25,65.4
Dom Pedro,2000.0,2,52.5,57.5,62.5,76.5,63.6
Peri Mirim,200.0,1,70.0,60.0,60.5,60.5,63.2
Presidente Sarney,100.0,1,70.0,60.0,60.5,60.5,63.2
Maracaçumé,300.0,1,70.0,60.0,60.5,60.5,63.2
Paço do Lumiar,100.0,1,70.0,60.0,60.5,60.5,63.2
Senador Alexandre Costa,300.0,1,70.0,60.0,60.5,60.5,63.2
São João do Soter,200.0,1,70.0,60.0,60.5,60.5,63.2
Vargem Grande,300.0,1,70.0,60.0,60.5,60.5,63.2
Amapá do Maranhão,300.0,1,70.0,60.0,60.5,60.5,63.2
Carutapera,200.0,1,70.0,60.0,60.5,60.5,63.2
Coelho Neto,150.0,1,70.0,60.0,60.5,60.5,63.2
Bacuri,500.0,1,70.0,60.0,60.5,60.5,63.2
Itapecuru mirim,250.0,1,70.0,60.0,60.5,60.5,63.2
Pedreiras,300.0,1,65.0,60.0,58.75,58.75,61.0
Viana,200.0,1,65.0,60.0,58.75,58.75,61.0
Arari,100.0,1,65.0,60.0,58.75,58.75,61.0
Olho D´agua das Cunhas,150.0,1,65.0,60.0,58.75,58.75,61.0
Lago da Pedra,1500.0,2,52.5,57.5,53.5,67.5,60.0
